word,id,subject,property,object,question,sparql,Unnamed: 7,Unnamed: 8,Unnamed: 9
doctoral,337,Albert_Einstein,doctoralAdvisor,-,SELECT DISTINCT ?uri WHERE { res:Albert_Einstein dbo:doctoralAdvisor ?uri },Who was the doctoral supervisor of Albert Einstein?,,,
earlier,113,-,established,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Library> , <http://dbpedia.org/property/established> ?year FILTER ( ?year < 1400 ) },Give me all libraries established earlier than 1400.,,
  ,198,-,date,-,ASK WHERE { res:Cuban_Missile_Crisis dbo:date ?x . res:Bay_of_Pigs_Invasion dbo:date ?y FILTER ( ?x < ?y ) },Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,,,
english,145,,architecturalStyle,English_Gothic_architecture,SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Building> , <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> , <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent> },Show me all English Gothic buildings in Kent.,
ethnic,316,,ethnicGroup,-,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Slovenia dbo:ethnicGroup ?uri },How many ethnic groups live in Slovenia?,,,
european,230,European_Union,populationTotal,-,SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop },how much is the total population of  european union?,,,
federal,78,-,-,-," SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> { ?uri <http://dbpedia.org/ontology/office> """"""""Chancellor of Germany"""""""" } UNION { ?uri <http://dbpedia.org/property/office> <http://dbpedia.org/resource/Chancellor_of_Germany> } }""",Give me all federal chancellors of Germany.,,,
  ,202,Federal_Ministry_of_Finance_(Germany),leader,-,SELECT ?leader WHERE { <http://dbpedia.org/resource/Federal_Ministry_of_Finance_(Germany)> dbo:leader ?leader },Who is the current federal minister of finance in Germany?,,,
fifth,218,French_Fifth_Republic,foundingDate,-,SELECT ?ff WHERE { dbr:French_Fifth_Republic dbo:foundingDate ?ff },when was the founding date of french fifth republic?,,,
final,281,2018_FIFA_World_Cup,date,-,SELECT ?Date WHERE { dbr:2018_FIFA_World_Cup dbp:date ?Date } ORDER BY DESC(?Date) LIMIT 1,When will start the final match of the football world cup 2018?,,,
  ,341,-,date,-,SELECT DISTINCT ?result WHERE { ?uri dbo:isPartOfMilitaryConflict dbr:Wars_of_the_Roses , dbo:result ?result , dbo:date ?date } ORDER BY DESC(?date) OFFSET 0 LIMIT 1,What was the final result of the War of the Roses?,
first,130,Album,releaseDate,-,SELECT DISTINCT ?uri WHERE { ?x rdf:type dbo:Album }, dbo:artist res:Elvis_Presley , dbo:releaseDate ?y , dbo:recordLabel ?uri } ORDER BY ASC(?y) OFFSET 0 LIMIT 1,For which label did Elvis record his first album?
  ,158,-,seasonNumber,1,SELECT DISTINCT ?uri WHERE { ?uri dbo:series res:The_Sopranos , dbo:seasonNumber 1 },List all episodes of the first season of the HBO television series The Sopranos!,,
  ,219,-,activeYearsStartYear,-,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Royalty , rdf:type yago:WikicatEnglishMonarchs , dbo:activeYearsStartYear ?date } ORDER BY ASC(?date) OFFSET 0 LIMIT 1,Who was the first King of England?,
  ,331,,seasonNumber,1,SELECT DISTINCT ?uri WHERE { ?uri dbo:series res:The_Sopranos , dbo:seasonNumber 1 },List all episodes of the first season of the HBO television series The Sopranos.,,
  ,384,Mount_Everest,firstAscentPerson,-,SELECT DISTINCT ?uri WHERE { res:Mount_Everest dbo:firstAscentPerson ?uri },Who was the first to climb Mount Everest?,,,
  ,409,Queen_(band),releaseDate,-,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Album , dbo:artist <http://dbpedia.org/resource/Queen_(band)> , dbo:releaseDate ?d } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,What was the first Queen album?,
  ,410,Queens_of_the_Stone_Age,alias,-, SELECT DISTINCT ?name WHERE { res:Queens_of_the_Stone_Age dbo:alias ?name },What was the first name of the band Queens of the Stone Age?,,,
former,95,-,-,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/property/burialPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Settlement> },In which city was the former Dutch queen Juliana buried?,,,
french,218,French_Fifth_Republic,foundingDate,-,SELECT ?ff WHERE { dbr:French_Fifth_Republic dbo:foundingDate ?ff },when was the founding date of french fifth republic?,,,
  ,285,,-,French_Polynesia,SELECT DISTINCT ?uri WHERE { res:French_Polynesia dbo:capital ?x . ?x dbo:mayor ?uri },Who is the mayor of the capital of French Polynesia?,,,
frequent,52,,deathCause,-,SELECT DISTINCT ?x WHERE { ?uri <http://dbpedia.org/ontology/deathCause> ?x . } ORDER BY DESC(COUNT(DISTINCT ?uri)) OFFSET 0 LIMIT 1,What is the most frequent cause of death?,,,
german,17,,birthPlace,German,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Monarch , dbo:spouse ?spouse { ?spouse dbo:birthPlace res:Germany } UNION { ?spouse dbo:birthPlace ?p . ?p dbo:country res:Germany } },Which monarchs were married to a German?,,
  ,57,-,country,German,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> . ?x <http://dbpedia.org/ontology/inflow> ?uri , a <http://dbpedia.org/ontology/Lake> , <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> },Which rivers flow into a German lake?,
  ,185,-,breed,German_Shepherd,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/breed> <http://dbpedia.org/resource/German_Shepherd> },Give me all breeds of the German Shepherd dog.,,,
gothic,145,-,architecturalStyle,English_Gothic_architecture,SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Building> , <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> , <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent> },Show me all English Gothic buildings in Kent.,
greek,163,-,country,Greece,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/PoliticalParty> , <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Greece> , <http://dbpedia.org/ontology/ideology> <http://dbpedia.org/resource/Pro-Europeanism> },Which Greek parties are pro-European?,
heaviest,186,Person,weight,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> , <http://dbpedia.org/ontology/weight> ?num { ?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/property/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/ontology/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1,Who is the heaviest player of the Chicago Bulls?,,
heavy,156,Jupiter,mass,-,SELECT DISTINCT ?n WHERE { ?uri <http://dbpedia.org/property/satelliteOf> <http://dbpedia.org/resource/Jupiter> , <http://dbpedia.org/ontology/mass> ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1,How heavy is Jupiter's lightest moon?,,
high,298,Colombo_Lighthouse,height,-,SELECT DISTINCT ?num WHERE { res:Colombo_Lighthouse dbo:height ?num },How high is the lighthouse in Colombo?,,,
  ,304,Yokohama_Marine_Tower,height,-,SELECT DISTINCT ?num WHERE { res:Yokohama_Marine_Tower dbo:height ?num },How high is the Yokohama Marine Tower?,,,
higher,34,,height,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/BasketballPlayer> , <http://dbpedia.org/ontology/height> ?n FILTER ( ?n > 2.0 ) },Show me all basketball players that are higher than 2 meters.,,
  ,174,Nanga_Parbat,elevation,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nanga_Parbat> <http://dbpedia.org/ontology/elevation> ?elevation . ?uri a <http://dbpedia.org/ontology/Mountain> { ?uri <http://dbpedia.org/ontology/elevation> ?otherelevation } UNION { ?uri <http://dbpedia.org/property/elevationM> ?otherelevation } FILTER ( ?otherelevation > ?elevation ) },Which mountains are higher than the Nanga Parbat?,,,
highest,16,-,densityrank,-,SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:WikicatStatesOfTheUnitedStates , dbp:densityrank ?rank } ORDER BY ASC(?rank) LIMIT 1,Which state of the USA has the highest population density?,,
  ,22,-,densityrank,-,SELECT ?uri WHERE { ?uri dbp:densityrank ?density } ORDER BY ASC(?density) LIMIT 1,Which state of the United States of America has the highest density?,,,
  ,65,Ural_Mountains,highest,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ural_Mountains> <http://dbpedia.org/property/highest> ?uri },What is the highest place of the Urals?,,,
  ,120,Mountain,elevation,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> , <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 0 LIMIT 1,What is the highest mountain?,,
  ,165,Mountain,elevation,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> , <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1,What is the second highest mountain on Earth?,,
  ,201,,elevation,-,SELECT ?m WHERE { ?m dbo:mountainRange dbr:Ore_Mountains , dbo:elevation ?height } ORDER BY DESC(?height) LIMIT 1,What is the highest mountain in Saxony Germany?,,
  ,289,-,elevation,-,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Mountain , dbo:locatedInArea res:Italy , dbo:elevation ?num } ORDER BY DESC(?num) OFFSET 0 LIMIT 1,What is the highest mountain in Italy?,
  ,400,-,elevation,-,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Mountain}, dbo:locatedInArea res:Australia , dbo:elevation ?elevation } ORDER BY DESC(?elevation) LIMIT 1,What is the highest mountain in Australia?,
  ,407,-,budget,-,SELECT DISTINCT ?uri WHERE { ?uri dbo:director res:Tim_Burton , dbo:budget ?b } ORDER BY ?b OFFSET 0 LIMIT 1,Which of Tim Burton's films had the highest budget?,,
himalayan,Himalayas,country,-,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?uri } ,,,To which countries does the Himalayan mountain system extend?,
indian,269,,location,India,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Company , dbo:location res:India , dbo:numberOfEmployees ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,Which Indian company has the most employees?,
large,209,United_Kingdom,areaTotal,-,SELECT ?area WHERE { dbr:United_Kingdom dbo:areaTotal ?area },How large is the area of UK?,,,
largest,98,Washington_(state),largestmetro,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Washington_(state)> <http://dbpedia.org/property/largestmetro> ?uri },What is the largest metropolitan area in Washington state?,,,
  ,166,Egypt,largestCity,-,ASK WHERE { <http://dbpedia.org/resource/Egypt> <http://dbpedia.org/ontology/largestCity> ?large , <http://dbpedia.org/ontology/capital> ?capital FILTER ( ?large = ?capital ) },Is Egypts largest city also its capital?,,
  ,188,-,areaTotal,-,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Country , dbo:areaTotal ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,What is the largest country in the world?,,
  ,189,,largestCity,-,SELECT ?lcity WHERE { dbr:United_States dbo:largestCity ?lcity },What is the largest city in america?,,,
  ,284,Canada,largestCity,-,SELECT DISTINCT ?num WHERE { res:Canada dbo:largestCity ?city . ?city dbo:populationTotal ?num },How many inhabitants does the largest city in Canada have?,,,
  ,301,Australia,largestCity,-,SELECT DISTINCT ?uri WHERE { res:Australia dbo:largestCity ?uri },What is the largest city in Australia?,,,
last,88,,label,Last Christmas@en,"SELECT DISTINCT ?uri WHERE { ?single <http://dbpedia.org/ontology/album> ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> ""Last Christmas""@en }",Which music albums contain the song Last Christmas?,,,
  ,226,Friends,completionDate,-,SELECT ?date WHERE { dbr:Friends dbo:completionDate ?date },When was the last episode of the TV series Friends aired?,,,
  ,236,-,releaseDate,-,SELECT ?book WHERE { { ?book dbo:author dbr:Dan_Brown . ?book dbp:releaseDate ?date } UNION { ?book dbo:author dbr:Dan_Brown . ?book dbo:publicationDate ?date} } ORDER BY DESC(xsd:date(?date)) LIMIT 1,What is the last work of Dan Brown?,,,
  ,411,-,releaseDate,-,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film , dbo:starring res:Alec_Guinness , dbo:releaseDate ?date } ORDER BY DESC(?date) LIMIT 1,What was the last movie with Alec Guinness?,
  ,412,Last_Action_Hero,starring,-,SELECT DISTINCT ?uri WHERE { res:Last_Action_Hero dbo:starring ?uri },Give me all actors starring in Last Action Hero.,,,
least,182,-,budget,-,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Steven_Spielberg> . ?uri <http://dbpedia.org/ontology/budget> ?b . FILTER( xsd:double(?b) >= 8.0E7 ) },Give me all films produced by Steven Spielberg with a budget of at least $80 million.,,,
  ,332,-,populationTotal,-,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City , dbo:populationTotal ?pop } ORDER BY ASC(?pop) OFFSET 0 LIMIT 1,Which city has the least inhabitants?,,
lightest,156,,mass,-,SELECT DISTINCT ?n WHERE { ?uri <http://dbpedia.org/property/satelliteOf> <http://dbpedia.org/resource/Jupiter> , <http://dbpedia.org/ontology/mass> ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1,How heavy is Jupiter's lightest moon?,,
located,4,Area_51,location,-,SELECT DISTINCT ?uri WHERE { res:Area_51 dbo:location ?uri . ?uri dbo:country res:United_States. },In which U.S. state is Area 51 located?,,,
  ,115,-,locatedInArea,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mount_McKinley> dbo:wikiPageRedirects ?x . ?x <http://dbpedia.org/ontology/locatedInArea> ?uri. ?uri rdf:type yago:WikicatStatesOfTheUnitedStates },In which U.S. state is Mount McKinley located?,,,
  ,172,Fort_Knox,location,-,SELECT DISTINCT ?uri WHERE { res:Fort_Knox dbo:location ?uri . ?uri dbo:country res:United_States },In which U.S. state is Fort Knox located?,,,
longest,149,River,length,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> { ?uri <http://dbpedia.org/ontology/length> ?l } UNION { ?uri <http://dbpedia.org/property/length> ?l } } ORDER BY DESC(?l) OFFSET 0 LIMIT 1,What is the longest river?,,,
  ,251,-,length,-,SELECT ?uri WHERE { ?uri rdf:type dbo:BodyOfWater , dbo:length ?length } ORDER BY DESC(?length) LIMIT 1,What is the longest river in the world?,,
  ,357,-,mainspan,-,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Bridge , dbo:mainspan ?s } ORDER BY DESC(?s) OFFSET 0 LIMIT 1,What is the bridge with the longest span?,,
lowest,105,,fifaMin,-,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Brazil_national_football_team> <http://dbpedia.org/property/fifaMin> ?n },What was Brazil's lowest rank in the FIFA World Ranking?,,,
main,280,-,-,-,SELECT ?owner WHERE { ?owner dbo:owner dbr:Donald_Trump },What is Donald Trump's main business?,,,
many,50,-,producer,-,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> },How many films did Hal Roach produce?,,,
  ,56,-,director,,SELECT COUNT(DISTINCT ?uri AS ?uri) WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Park_Chan-wook> . },How many movies did Park Chan-wook direct?,,,
  ,58,-,-,-,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> },How many airlines are there?,,,
  ,60,Maribor,populationTotal,-,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Maribor> <http://dbpedia.org/ontology/populationTotal> ?num },How many inhabitants does Maribor have?,,,
  ,76,,-,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Museum> , <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Paris> },How many museums does Paris have?,,
  ,85,Google,numberOfEmployees,-,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/numberOfEmployees> ?num },How many employees does Google have?,,,
  ,90,-,-,-,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/property/programme> <http://dbpedia.org/resource/Soyuz_programme> },How many missions does the Soyuz programme have?,,,
  ,106,-,-,-,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Film> , <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Leonardo_DiCaprio> },How many films did Leonardo DiCaprio star in?,,
  ,127,-,-,-,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> , <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> },How many airlines are members of the Star Alliance?,,
  ,140,-,-,-,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Politician> , <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Columbia_University> },How many politicians graduated from Columbia University?,,
  ,144,-,-,-,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Eddie_Murphy> <http://dbpedia.org/property/children> ?n },How many children does Eddie Murphy have?,,,
  ,157,IBM,numberOfEmployees,-,SELECT DISTINCT ?number WHERE { <http://dbpedia.org/resource/IBM> <http://dbpedia.org/ontology/numberOfEmployees> ?number },How many employees does IBM have?,,,
  ,168,-,-,-,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/ProgrammingLanguage> },How many programming languages are there?,,,
  ,225,Poland,populationTotal,-,SELECT DISTINCT ?uri WHERE { res:Poland dbo:populationTotal ?uri },How many people live in Poland?,,,
  ,250,Aldi,numberOfLocations,-,SELECT DISTINCT ?number WHERE { res:Aldi dbo:numberOfLocations ?number },How many Aldi stores are there?,,,
  ,256,Australia,populationTotal,-,SELECT DISTINCT ?num WHERE { res:Australia dbo:capital ?x . ?x dbo:populationTotal ?num },How many people live in the capital of Australia?,,,
  ,258,-,-,-,SELECT (COUNT(?uri) AS ?count) WHERE { dbr:Albert_Einstein dbo:knownFor ?uri },How many theories did Albert Einstein come up with?,,,
  ,262,-,-,-,SELECT ?border WHERE { dbr:Geography_of_Iran dbp:borders ?border } LIMIT 8,With how many countries Iran has borders?,,,
  ,284,Canada,largestCity,-,SELECT DISTINCT ?num WHERE { res:Canada dbo:largestCity ?city . ?city dbo:populationTotal ?num },How many inhabitants does the largest city in Canada have?,,,
  ,307,,-,-,SELECT (COUNT(DISTINCT ?x) AS ?c) WHERE { res:Turkmenistan dbo:language ?x },How many languages are spoken in Turkmenistan?,,,
  ,316,-,-,-,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Slovenia dbo:ethnicGroup ?uri },How many ethnic groups live in Slovenia?,,,
  ,319,War_and_Peace,numberOfPages,-,SELECT DISTINCT ?n WHERE { res:War_and_Peace dbo:numberOfPages ?n },How many pages does War and Peace have?,,,
  ,327,-,-,-,SELECT (COUNT(?uri) AS ?count) WHERE { ?uri dbo:type dbr:States_of_Mexico },How many states are in Mexico?,,,
  ,351,Eurasia,populationTotal,-,SELECT DISTINCT ?population WHERE { res:Eurasia dbo:populationTotal ?population },How many people live in Eurasia?,,,
  ,362,-,-,-,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Benjamin_Franklin dbo:child ?uri },How many children did Benjamin Franklin have?,,,
  ,385,-,-,-,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri rdf:type dbo:Language . res:Colombia dbo:language ?uri },How many languages are spoken in Colombia?,,,
methodist,118,,religion,Methodism,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Politician> , <http://dbpedia.org/ontology/religion> <http://dbpedia.org/resource/Methodism> },Give me all Methodist politicians.,,
metropolitan,98,,largestmetro,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Washington_(state)> <http://dbpedia.org/property/largestmetro> ?uri },What is the largest metropolitan area in Washington state?,,,
mexico,217,Mexico_City,populationTotal,-,SELECT ?Mexico_City WHERE { dbr:Mexico_City dbo:populationTotal ?Mexico_City },How much is the population of mexico city ?,,,
military,369,T._E._Lawrence,battle,-,SELECT DISTINCT ?uri WHERE { res:T._E._Lawrence dbo:battle ?uri },In which military conflicts did Lawrence of Arabia participate?,,,
much,83,,-,-,SELECT DISTINCT ?carbs WHERE { <http://dbpedia.org/resource/Peanut_butter> <http://dbpedia.org/property/carbs> ?carbs },How much carbs does peanut butter have?,,,
  ,216,D??sseldorf_Airport,elevation,-,SELECT ?ele WHERE { dbr:D??sseldorf_Airport dbo:elevation ?ele } LIMIT 1,how much is the elevation of D??sseldorf Airport ?,,,
  ,217,Mexico_City,populationTotal,-,SELECT ?Mexico_City WHERE { dbr:Mexico_City dbo:populationTotal ?Mexico_City },How much is the population of mexico city ?,,,
  ,230,European_Union,populationTotal,-,SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop },how much is the total population of  european union?,,,
  ,283,Iraq,populationTotal,-,SELECT ?pIraq WHERE { dbr:Iraq dbo:populationTotal ?pIraq },how much is the population  Iraq?,,,
  ,288,Germany,populationDensityRank,-,SELECT ?rank WHERE { dbr:Germany dbp:populationDensityRank ?rank },how much is the population densty rank of germany?,,,
net,93,,netIncome,-,SELECT DISTINCT ?ni WHERE { <http://dbpedia.org/resource/Apple_Inc.> <http://dbpedia.org/ontology/netIncome> ?ni },What is the net income of Apple?,,,
new,160,Apple_Inc.,-,-,ASK WHERE { <http://dbpedia.org/resource/Battlestar_Galactica_%281978_TV_series%29> dbo:numberOfEpisodes ?x . <http://dbpedia.org/resource/Battlestar_Galactica_%282004_TV_series%29> dbo:numberOfEpisodes ?y FILTER ( ?y > ?x ) },Does the new Battlestar Galactica series have more episodes than the old one?,,,
nobel,326,-,award,Nobel_Prize_in_Physics,ASK WHERE { res:Nikola_Tesla dbo:award res:Nobel_Prize_in_Physics },Did Tesla win a nobel prize in physics?,,,
non-profit,42,-,type,Nonprofit_organization,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization> { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Switzerland> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Switzerland> } },Give me all Swiss non-profit organizations.,,,
